t,mode,k_leak,Golgi,Endosome,Lysosome
0.0,unstable_mutant,0.35,1.0,0.0,0.0
1.0,unstable_mutant,0.35,0.305933600257251,0.2875969042127936,0.12330435512099941
2.0,unstable_mutant,0.35,0.09359536776636346,0.19664910748551517,0.27403783918273683
3.0,unstable_mutant,0.35,0.02863396782816504,0.10121822609094358,0.36285136790821937
4.0,unstable_mutant,0.35,0.00876009286732083,0.04647860894078028,0.4061555288371144
5.0,unstable_mutant,0.35,0.0026800067494873263,0.02008051976833119,0.42549934839368186
6.0,unstable_mutant,0.35,0.0008199041135843904,0.008357841182273371,0.433720398727424
7.0,unstable_mutant,0.35,0.0002508362173346026,0.0033936686405704212,0.4371056908500556
8.0,unstable_mutant,0.35,7.673922704408525e-05,0.001354379133597742,0.4384701542964177
9.0,unstable_mutant,0.35,2.3477108010555604e-05,0.0005337988600726942,0.43901181672741874
10.0,unstable_mutant,0.35,7.182436177297623e-06,0.00020843867556626737,0.4392244665853495
11.0,unstable_mutant,0.35,2.1973485583385886e-06,8.082062031090635e-05,0.43930725770679885
12.0,unstable_mutant,0.35,6.722427554726046e-07,3.116863403908808e-05,0.439339286925392
13.0,unstable_mutant,0.35,2.056616464285887e-07,1.196986802657813e-05,0.4393516174585553
14.0,unstable_mutant,0.35,6.291880792673193e-08,4.581756719873264e-06,0.4393563463495064
15.0,unstable_mutant,0.35,1.9248977432919567e-08,1.7492333453130971e-06,0.4393581544983825
16.0,unstable_mutant,0.35,5.888908967323663e-09,6.664537250550994e-07,0.43935884422906535
17.0,unstable_mutant,0.35,1.8016151219605386e-09,2.5350172653088865e-07,0.4393591068366444
18.0,unstable_mutant,0.35,5.511746005392939e-10,9.62994127414031e-08,0.4393592066717089
19.0,unstable_mutant,0.35,1.686228299133383e-10,3.6543595396916674e-08,0.4393592445803028
20.0,unstable_mutant,0.35,5.1587389440953665e-11,1.385586533622524e-08,0.43935925896081596
0.0,PC_stabilized_cargo,0.12,1.0,0.0,0.0
1.0,PC_stabilized_cargo,0.12,0.38991280153038327,0.36167306664573584,0.14069795059929024
2.0,PC_stabilized_cargo,0.12,0.15203199279727211,0.3147437690920804,0.3521830961933589
3.0,PC_stabilized_cargo,0.12,0.05927922023383145,0.20616708787796956,0.5098758179032633
4.0,PC_stabilized_cargo,0.12,0.023113726833909807,0.12046815491675916,0.6074984746462442
5.0,PC_stabilized_cargo,0.12,0.009012337983617768,0.06622420999989624,0.6629201597945663
6.0,PC_stabilized_cargo,0.12,0.00351402595153109,0.035069065445592275,0.6928670643377085
7.0,PC_stabilized_cargo,0.12,0.0013701637034119584,0.01811569020813304,0.7085484004037934
8.0,PC_stabilized_cargo,0.12,0.0005342443681526021,0.00919708013712427,0.7165863141117059
9.0,PC_stabilized_cargo,0.12,0.00020830871828821053,0.004610865125478612,0.7206443452082689
10.0,PC_stabilized_cargo,0.12,8.122223593095956e-05,0.0022900814239618784,0.7226704232800816
11.0,PC_stabilized_cargo,0.12,3.166958955840221e-05,0.001129373151766821,0.7236735878883401
12.0,PC_stabilized_cargo,0.12,1.234837838803398e-05,0.0005539270499503157,0.7241671271841804
13.0,PC_stabilized_cargo,0.12,4.814790811635567e-06,0.0002705344474826796,0.7244087468076688
14.0,PC_stabilized_cargo,0.12,1.8773485741475724e-06,0.00013168748030014052,0.7245265811949856
15.0,PC_stabilized_cargo,0.12,7.320022419949502e-07,6.393257449603036e-05,0.7245838735775992
16.0,PC_stabilized_cargo,0.12,2.8541704490277263e-07,3.097354729558506e-05,0.7246116630460613
17.0,PC_stabilized_cargo,0.12,1.1128775958256332e-07,1.4980784716081095e-05,0.7246251165288524
18.0,PC_stabilized_cargo,0.12,4.339252211487703e-08,7.2359861103152424e-06,0.7246316197271381
19.0,PC_stabilized_cargo,0.12,1.6919299863280823e-08,3.491362844331653e-06,0.7246347594300205
